desc_distrito_local,desc_epigrafe,count_2015,count_2018,diff_perc,diff
ARGANZUELA,COMERCIO AL POR MENOR DE VINOS Y ALCOHOLES (BODEGA) SIN CONSUMO,3,5,66.66666666666666,2
ARGANZUELA,"COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",140,160,14.285714285714285,20
ARGANZUELA,"COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (GRANDES SUPERFICIES)",9,1,-88.88888888888889,-8
ARGANZUELA,"COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, SIN PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO",5,8,60,3
ARGANZUELA,COMERCIO AL POR MENOR EN TIENDAS DE BRICOLAJE,4,4,0,0
ARGANZUELA,"COMERCIO AL POR MENOR POR CORRESPONDENCIA, INTERNET, A DOMICILIO",5,6,20,1
ARGANZUELA,COMERCIO DE RESPUESTOS Y ACCESORIOS DE VEHICULOS DE MOTOR,17,17,0,0
ARGANZUELA,COMERCIO DE VEHICULOS DE MOTOR NUEVOS,21,18,-14.285714285714285,-3
ARGANZUELA,COMERCIO DE VEHICULOS DE MOTOR USADOS,11,11,0,0
ARGANZUELA,CONFECCION PRENDAS DE VESTIR (INCLUIDO CUERO Y EXCLUIDA LA PELETERIA Y LAS PRENDAS DE PUNTO),5,6,20,1
ARGANZUELA,CONSTRUCCION DE EDIFICIOS,12,10,-16.666666666666664,-2
ARGANZUELA,CONSULTA DE ESTOMATOLOGOS Y ODONTOLOGOS,30,37,23.333333333333332,7
ARGANZUELA,CONSULTA DE MEDICINA GENERAL Y ESPECIALIDADES,13,16,23.076923076923077,3
ARGANZUELA,CONSULTA DE OPTICOS-OPTOMETRISTAS,4,5,25,1
ARGANZUELA,CONSULTA DE PODOLOGIA,9,10,11.11111111111111,1
ARGANZUELA,CONSULTA DE PROTESICOS E HIGIENISTAS DENTALES,10,15,50,5
ARGANZUELA,CONSULTORIO VETERINARIO CON TRATAMIENTO HIGIENICO ANIMAL,3,2,-33.33333333333333,-1
ARGANZUELA,"CORTE, TALLADO Y ACABADO DE LA PIEDRA",1,1,0,0
ARGANZUELA,DEPOSITO Y ALMACENAMIENTO,33,42,27.27272727272727,9
ARGANZUELA,DESPACHO DE FISIOTERAPEUTAS,7,10,42.857142857142854,3
ARGANZUELA,DESPACHO DE PROTESICOS E HIGIENISTAS DENTALES,2,4,100,2
ARGANZUELA,DESPACHO MEDICO DE MEDICINA GENERAL Y ESPECIALISTAS,1,4,300,3
ARGANZUELA,"DESPACHO PROFESIONAL DE ACTIVIDADES ECONOMICAS (CONTABILIDAD, AUDITORIA Y ASESORIA FISCAL)",6,6,0,0
ARGANZUELA,DESPACHO PROFESIONAL DE ACTIVIDADES JURIDICAS,4,8,100,4
ARGANZUELA,DESPACHO PROFESIONAL DE ARQUITECTURA E INGENIERIA,3,6,100,3
ARGANZUELA,DISCOTECAS Y SALAS DE BAILE,2,2,0,0
ARGANZUELA,"EDICION DE LIBROS, PERIODICOS Y OTRAS ACTIVIDADES EDITORIALES",6,4,-33.33333333333333,-2
ARGANZUELA,EDICION DE PROGRAMAS INFORMATICOS,1,1,0,0
ARGANZUELA,EDUCACION TERCIARIA NO UNIVERSITARIA,1,1,0,0
ARGANZUELA,EDUCACION UNIVERSITARIA PRIVADA,2,2,0,0
ARGANZUELA,EDUCACION UNIVERSITARIA PUBLICA,1,1,0,0
ARGANZUELA,ENCUADERNACION Y SERVICIOS RELACIONADOS CON LA MISMA,3,5,66.66666666666666,2
ARGANZUELA,ENSEÑANZA DE IDIOMAS,11,13,18.181818181818183,2
ARGANZUELA,"ENSEÑANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",82,119,45.1219512195122,37
ARGANZUELA,ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS CON OBRADOR,19,22,15.789473684210526,3
ARGANZUELA,ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS SIN OBRADOR,1,2,100,1
ARGANZUELA,EXTRACCION DE CRUDO DE PETROLEO Y GAS NATURAL,1,1,0,0
ARGANZUELA,"FABRICACION DE APARATOS ELECTRICOS, ELECTRODOMESTICOS (EXCEPTO ORDENADORES)",3,2,-33.33333333333333,-1
ARGANZUELA,"FABRICACION DE ARTICULOS DE JOYERIA, BISUTERIA Y SIMILARES",1,3,200,2
ARGANZUELA,FABRICACION DE HIELO Y SUMINISTRO DE VAPOR Y AIRE ACONDICIONADO,1,1,0,0
ARGANZUELA,"FABRICACION DE INSTRUMENTOS DE PRECISION, MEDIDA Y CONTROL. FABRICACION DE RELOJES",1,1,0,0
ARGANZUELA,FABRICACION DE INSTRUMENTOS Y SUMINISTROS MEDICOS Y ODONTOLOGICOS,5,5,0,0
ARGANZUELA,FABRICACION DE MATERIAL Y EQUIPO ELECTRICO (EXCEPTO ORDENADORES),1,1,0,0
ARGANZUELA,"FABRICACION DE PINTURAS, BARNICES, LACAS Y REVESTIMIENTOS SIMILARES",2,3,50,1
ARGANZUELA,FABRICACION DE PRODUCTOS DE CAUCHO Y PLASTICOS,1,1,0,0
ARGANZUELA,FABRICACION DE PRODUCTOS DE PANADERIA Y PASTELERIA,3,2,-33.33333333333333,-1
ARGANZUELA,"FABRICACION DE PRODUCTOS METALICOS, EXCEPTO MAQUINARIA Y EQUIPO",1,1,0,0
ARGANZUELA,"FABRICACION DE TEJIDOS TEXTILES, ALFOMBRAS, CUERDAS Y OTROS PRODUCTOS TEXTILES (EXCEPTO PRENDAS DE VESTIR)",2,1,-50,-1
ARGANZUELA,FARMACIA,78,78,0,0
ARGANZUELA,FISIOTERAPEUTAS Y OTRAS ACTIVIDADES SANITARIAS,29,42,44.827586206896555,13
ARGANZUELA,GESTION DE INSTALACIONES DEPORTIVAS,4,4,0,0
ARGANZUELA,HOTELES Y MOTELES CON RESTAURANTE,7,11,57.14285714285714,4
ARGANZUELA,IMPRENTA,9,9,0,0
ARGANZUELA,"INDUSTRIA DE LA MADERA Y CORCHO (EXCEPTO MUEBLES), CESTERIA Y ESPARTERIA",10,7,-30,-3
ARGANZUELA,INDUSTRIAS MANUFACTURERAS N.C.O.P.,2,2,0,0
ARGANZUELA,INGENIERIA CIVIL,5,4,-20,-1
ARGANZUELA,INSTALACION DE MAQUINAS Y EQUIPOS INDUSTRIALES,3,2,-33.33333333333333,-1
ARGANZUELA,"INSTALACIONES ELECTRICAS, DE FONTANERIA Y OTRAS EN OBRAS DE CONSTRUCCION",63,66,4.761904761904762,3
ARGANZUELA,INSTITUTO DE BELLEZA,10,9,-10,-1
ARGANZUELA,"INTERMEDIACION MONETARIA: BANCOS, CAJAS DE AHORRO",138,112,-18.84057971014493,-26
ARGANZUELA,"INTERMEDIARIO DEL COMERCIO DE PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO",1,1,0,0
ARGANZUELA,"INTERMEDIARIOS DEL COMERCIO DE COMBUSTIBLES, MINERALES, METALES Y PRODUCTOS QUIMICOS INDUSTRIALES",1,1,0,0
ARGANZUELA,INTERMEDIARIOS DEL COMERCIO DE LA MADERA Y MATERIALES DE CONSTRUCCION,2,3,50,1
ARGANZUELA,"INTERMEDIARIOS DEL COMERCIO DE MAQUINARIA, EQUIPO INDUSTRIAL, EMBARCACIONES Y AERONAVES",3,3,0,0
ARGANZUELA,INTERMEDIARIOS DEL COMERCIO DE MUEBLES,2,2,0,0
ARGANZUELA,"INTERMEDIARIOS DEL COMERCIO DE TEXTILES, PRENDAS DE VESTIR, PELETERIA, CALZADO Y ARTICULOS DE CUERO",6,6,0,0
ARGANZUELA,INTERMEDIARIOS DEL COMERCIO ESPECIALIZADOS EN LA VENTA DE OTROS PRODUCTOS ESPECIFICOS,1,1,0,0
ARGANZUELA,"INVERSION COLECTIVA, FONDOS Y ENTIDADES FINANCIERAS SIMILARES",1,1,0,0
ARGANZUELA,INVESTIGACION Y DESARROLLO,1,1,0,0
ARGANZUELA,"JUEGOS DE AZAR Y APUESTAS DE GESTION PRIVADA (BINGOS, CASINOS, MAQUINAS TRAGAPERRAS)",13,21,61.53846153846154,8
ARGANZUELA,JUEGOS DE AZAR Y APUESTAS DE GESTION PUBLICA O O AUTORIZACION ESPECIAL (ESTADO Y ONCE),23,23,0,0
ARGANZUELA,LAVADO Y LIMPIEZA DE PRENDAS TEXTILES Y DE PIEL,32,31,-3.125,-1
ARGANZUELA,LOCAL SIN ACTIVIDAD,5,34,580,29
ARGANZUELA,LOCALES DE EXHIBICIONES EROTICAS,1,1,0,0
ARGANZUELA,LOCUTORIOS,74,65,-12.162162162162163,-9
ARGANZUELA,"MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO, INCLUIDO EL FERROVIARIO",6,6,0,0
